__typename,dateString,countryCode,countryName,sectorCode,sectorName,postingType,value
HiringLabSectoralPosting,2020-05-05,US,United States,customer,Customer Service,TOTAL,55.63
HiringLabSectoralPosting,2020-05-06,US,United States,customer,Customer Service,TOTAL,55.5
HiringLabSectoralPosting,2020-05-07,US,United States,customer,Customer Service,TOTAL,55.49
HiringLabSectoralPosting,2020-05-08,US,United States,customer,Customer Service,TOTAL,55.61
HiringLabSectoralPosting,2020-05-09,US,United States,customer,Customer Service,TOTAL,55.76
HiringLabSectoralPosting,2020-05-10,US,United States,customer,Customer Service,TOTAL,55.92
HiringLabSectoralPosting,2020-05-11,US,United States,customer,Customer Service,TOTAL,56.02
HiringLabSectoralPosting,2020-05-12,US,United States,customer,Customer Service,TOTAL,56.42
HiringLabSectoralPosting,2020-05-13,US,United States,customer,Customer Service,TOTAL,56.43
HiringLabSectoralPosting,2020-05-14,US,United States,customer,Customer Service,TOTAL,56.48
HiringLabSectoralPosting,2020-05-15,US,United States,customer,Customer Service,TOTAL,56.69
HiringLabSectoralPosting,2020-05-16,US,United States,customer,Customer Service,TOTAL,56.58
HiringLabSectoralPosting,2020-05-17,US,United States,customer,Customer Service,TOTAL,56.63
HiringLabSectoralPosting,2020-05-18,US,United States,customer,Customer Service,TOTAL,56.81
HiringLabSectoralPosting,2020-05-19,US,United States,customer,Customer Service,TOTAL,56.77
HiringLabSectoralPosting,2020-05-20,US,United States,customer,Customer Service,TOTAL,57.27
HiringLabSectoralPosting,2020-05-21,US,United States,customer,Customer Service,TOTAL,57.8
HiringLabSectoralPosting,2020-05-22,US,United States,customer,Customer Service,TOTAL,58.19
HiringLabSectoralPosting,2020-05-23,US,United States,customer,Customer Service,TOTAL,58.94
HiringLabSectoralPosting,2020-05-24,US,United States,customer,Customer Service,TOTAL,59.43
HiringLabSectoralPosting,2020-05-25,US,United States,customer,Customer Service,TOTAL,59.79
HiringLabSectoralPosting,2020-05-26,US,United States,customer,Customer Service,TOTAL,60.11
HiringLabSectoralPosting,2020-05-27,US,United States,customer,Customer Service,TOTAL,60.24
HiringLabSectoralPosting,2020-05-28,US,United States,customer,Customer Service,TOTAL,60.37
HiringLabSectoralPosting,2020-05-29,US,United States,customer,Customer Service,TOTAL,60.64
HiringLabSectoralPosting,2020-05-30,US,United States,customer,Customer Service,TOTAL,60.97
HiringLabSectoralPosting,2020-05-31,US,United States,customer,Customer Service,TOTAL,61.34
HiringLabSectoralPosting,2020-06-01,US,United States,customer,Customer Service,TOTAL,61.68
HiringLabSectoralPosting,2020-06-02,US,United States,customer,Customer Service,TOTAL,62.09
HiringLabSectoralPosting,2020-06-03,US,United States,customer,Customer Service,TOTAL,62.6
HiringLabSectoralPosting,2020-06-04,US,United States,customer,Customer Service,TOTAL,63.02
HiringLabSectoralPosting,2020-06-05,US,United States,customer,Customer Service,TOTAL,63.4
HiringLabSectoralPosting,2020-06-06,US,United States,customer,Customer Service,TOTAL,63.66
HiringLabSectoralPosting,2020-06-07,US,United States,customer,Customer Service,TOTAL,63.97
HiringLabSectoralPosting,2020-06-08,US,United States,customer,Customer Service,TOTAL,64.33
HiringLabSectoralPosting,2020-06-09,US,United States,customer,Customer Service,TOTAL,64.75
HiringLabSectoralPosting,2020-06-10,US,United States,customer,Customer Service,TOTAL,65.05
HiringLabSectoralPosting,2020-06-11,US,United States,customer,Customer Service,TOTAL,65.4
HiringLabSectoralPosting,2020-06-12,US,United States,customer,Customer Service,TOTAL,65.67
HiringLabSectoralPosting,2020-06-13,US,United States,customer,Customer Service,TOTAL,65.83
HiringLabSectoralPosting,2020-06-14,US,United States,customer,Customer Service,TOTAL,66.15
HiringLabSectoralPosting,2020-06-15,US,United States,customer,Customer Service,TOTAL,66.43
HiringLabSectoralPosting,2020-06-16,US,United States,customer,Customer Service,TOTAL,66.63
HiringLabSectoralPosting,2020-06-17,US,United States,customer,Customer Service,TOTAL,66.98
HiringLabSectoralPosting,2020-06-18,US,United States,customer,Customer Service,TOTAL,67.25
HiringLabSectoralPosting,2020-06-19,US,United States,customer,Customer Service,TOTAL,67.7
HiringLabSectoralPosting,2020-06-20,US,United States,customer,Customer Service,TOTAL,68.29
HiringLabSectoralPosting,2020-06-21,US,United States,customer,Customer Service,TOTAL,68.89
HiringLabSectoralPosting,2020-06-22,US,United States,customer,Customer Service,TOTAL,69.51
HiringLabSectoralPosting,2020-06-23,US,United States,customer,Customer Service,TOTAL,70
HiringLabSectoralPosting,2020-06-24,US,United States,customer,Customer Service,TOTAL,70.4
HiringLabSectoralPosting,2020-06-25,US,United States,customer,Customer Service,TOTAL,70.93
HiringLabSectoralPosting,2020-06-26,US,United States,customer,Customer Service,TOTAL,71.29
HiringLabSectoralPosting,2020-06-27,US,United States,customer,Customer Service,TOTAL,71.65
HiringLabSectoralPosting,2020-06-28,US,United States,customer,Customer Service,TOTAL,71.84
HiringLabSectoralPosting,2020-06-29,US,United States,customer,Customer Service,TOTAL,72.03
HiringLabSectoralPosting,2020-06-30,US,United States,customer,Customer Service,TOTAL,72.45
HiringLabSectoralPosting,2020-07-01,US,United States,customer,Customer Service,TOTAL,72.91
HiringLabSectoralPosting,2020-07-02,US,United States,customer,Customer Service,TOTAL,73.36
HiringLabSectoralPosting,2020-07-03,US,United States,customer,Customer Service,TOTAL,73.61
HiringLabSectoralPosting,2020-07-04,US,United States,customer,Customer Service,TOTAL,73.73
HiringLabSectoralPosting,2020-07-05,US,United States,customer,Customer Service,TOTAL,73.89
HiringLabSectoralPosting,2020-07-06,US,United States,customer,Customer Service,TOTAL,74.1
HiringLabSectoralPosting,2020-07-07,US,United States,customer,Customer Service,TOTAL,74.23
HiringLabSectoralPosting,2020-07-08,US,United States,customer,Customer Service,TOTAL,74.35
HiringLabSectoralPosting,2020-07-09,US,United States,customer,Customer Service,TOTAL,74.61
HiringLabSectoralPosting,2020-07-10,US,United States,customer,Customer Service,TOTAL,75.02
HiringLabSectoralPosting,2020-07-11,US,United States,customer,Customer Service,TOTAL,75.54
HiringLabSectoralPosting,2020-07-12,US,United States,customer,Customer Service,TOTAL,76.01
HiringLabSectoralPosting,2020-07-13,US,United States,customer,Customer Service,TOTAL,76.41
HiringLabSectoralPosting,2020-07-14,US,United States,customer,Customer Service,TOTAL,76.86
HiringLabSectoralPosting,2020-07-15,US,United States,customer,Customer Service,TOTAL,77.16
HiringLabSectoralPosting,2020-07-16,US,United States,customer,Customer Service,TOTAL,77.33
HiringLabSectoralPosting,2020-07-17,US,United States,customer,Customer Service,TOTAL,77.47
HiringLabSectoralPosting,2020-07-18,US,United States,customer,Customer Service,TOTAL,77.37
HiringLabSectoralPosting,2020-07-19,US,United States,customer,Customer Service,TOTAL,77.57
HiringLabSectoralPosting,2020-07-20,US,United States,customer,Customer Service,TOTAL,77.86
HiringLabSectoralPosting,2020-07-21,US,United States,customer,Customer Service,TOTAL,78.07
HiringLabSectoralPosting,2020-07-22,US,United States,customer,Customer Service,TOTAL,78.33
HiringLabSectoralPosting,2020-07-23,US,United States,customer,Customer Service,TOTAL,78.57
HiringLabSectoralPosting,2020-07-24,US,United States,customer,Customer Service,TOTAL,78.88
HiringLabSectoralPosting,2020-07-25,US,United States,customer,Customer Service,TOTAL,79.31
HiringLabSectoralPosting,2020-07-26,US,United States,customer,Customer Service,TOTAL,79.56
HiringLabSectoralPosting,2020-07-27,US,United States,customer,Customer Service,TOTAL,79.67
HiringLabSectoralPosting,2020-07-28,US,United States,customer,Customer Service,TOTAL,79.83
HiringLabSectoralPosting,2020-07-29,US,United States,customer,Customer Service,TOTAL,79.98
HiringLabSectoralPosting,2020-07-30,US,United States,customer,Customer Service,TOTAL,80.12
HiringLabSectoralPosting,2020-07-31,US,United States,customer,Customer Service,TOTAL,80.3
HiringLabSectoralPosting,2020-08-01,US,United States,customer,Customer Service,TOTAL,80.54
HiringLabSectoralPosting,2020-08-02,US,United States,customer,Customer Service,TOTAL,80.69
HiringLabSectoralPosting,2020-08-03,US,United States,customer,Customer Service,TOTAL,80.94
HiringLabSectoralPosting,2020-08-04,US,United States,customer,Customer Service,TOTAL,81.07
HiringLabSectoralPosting,2020-08-05,US,United States,customer,Customer Service,TOTAL,81.19
HiringLabSectoralPosting,2020-08-06,US,United States,customer,Customer Service,TOTAL,81.33
HiringLabSectoralPosting,2020-08-07,US,United States,customer,Customer Service,TOTAL,81.36
HiringLabSectoralPosting,2020-08-08,US,United States,customer,Customer Service,TOTAL,81.42
HiringLabSectoralPosting,2020-08-09,US,United States,customer,Customer Service,TOTAL,81.4
HiringLabSectoralPosting,2020-08-10,US,United States,customer,Customer Service,TOTAL,81.35
HiringLabSectoralPosting,2020-08-11,US,United States,customer,Customer Service,TOTAL,81.38
HiringLabSectoralPosting,2020-08-12,US,United States,customer,Customer Service,TOTAL,81.36
HiringLabSectoralPosting,2020-08-13,US,United States,customer,Customer Service,TOTAL,81.28
HiringLabSectoralPosting,2020-08-14,US,United States,customer,Customer Service,TOTAL,81.33
HiringLabSectoralPosting,2020-08-15,US,United States,customer,Customer Service,TOTAL,80.97
HiringLabSectoralPosting,2020-08-16,US,United States,customer,Customer Service,TOTAL,81.07
HiringLabSectoralPosting,2020-08-17,US,United States,customer,Customer Service,TOTAL,81.15
HiringLabSectoralPosting,2020-08-18,US,United States,customer,Customer Service,TOTAL,81.28
HiringLabSectoralPosting,2020-08-19,US,United States,customer,Customer Service,TOTAL,81.48
HiringLabSectoralPosting,2020-08-20,US,United States,customer,Customer Service,TOTAL,81.77
HiringLabSectoralPosting,2020-08-21,US,United States,customer,Customer Service,TOTAL,82
HiringLabSectoralPosting,2020-08-22,US,United States,customer,Customer Service,TOTAL,82.53
HiringLabSectoralPosting,2020-08-23,US,United States,customer,Customer Service,TOTAL,82.7
HiringLabSectoralPosting,2020-08-24,US,United States,customer,Customer Service,TOTAL,82.88
HiringLabSectoralPosting,2020-08-25,US,United States,customer,Customer Service,TOTAL,83.08
HiringLabSectoralPosting,2020-08-26,US,United States,customer,Customer Service,TOTAL,83.26
HiringLabSectoralPosting,2020-08-27,US,United States,customer,Customer Service,TOTAL,83.32
HiringLabSectoralPosting,2020-08-28,US,United States,customer,Customer Service,TOTAL,83.42
HiringLabSectoralPosting,2020-08-29,US,United States,customer,Customer Service,TOTAL,83.63
HiringLabSectoralPosting,2020-08-30,US,United States,customer,Customer Service,TOTAL,83.79
HiringLabSectoralPosting,2020-08-31,US,United States,customer,Customer Service,TOTAL,83.99
HiringLabSectoralPosting,2020-09-01,US,United States,customer,Customer Service,TOTAL,84.14
HiringLabSectoralPosting,2020-09-02,US,United States,customer,Customer Service,TOTAL,84.34
HiringLabSectoralPosting,2020-09-03,US,United States,customer,Customer Service,TOTAL,84.63
HiringLabSectoralPosting,2020-09-04,US,United States,customer,Customer Service,TOTAL,84.91
HiringLabSectoralPosting,2020-09-05,US,United States,customer,Customer Service,TOTAL,85.05
HiringLabSectoralPosting,2020-09-06,US,United States,customer,Customer Service,TOTAL,85.3
HiringLabSectoralPosting,2020-09-07,US,United States,customer,Customer Service,TOTAL,85.55
HiringLabSectoralPosting,2020-09-08,US,United States,customer,Customer Service,TOTAL,85.71
HiringLabSectoralPosting,2020-09-09,US,United States,customer,Customer Service,TOTAL,85.86
HiringLabSectoralPosting,2020-09-10,US,United States,customer,Customer Service,TOTAL,86
HiringLabSectoralPosting,2020-09-11,US,United States,customer,Customer Service,TOTAL,86.25
HiringLabSectoralPosting,2020-09-12,US,United States,customer,Customer Service,TOTAL,86.56
HiringLabSectoralPosting,2020-09-13,US,United States,customer,Customer Service,TOTAL,86.63
HiringLabSectoralPosting,2020-09-14,US,United States,customer,Customer Service,TOTAL,86.62
